"";"id";"clust";"surrounded";"updated"
"14001";15215;23;21;TRUE
"14002";15216;133;NA;FALSE
"14003";15217;133;NA;FALSE
"14004";15218;468;NA;FALSE
"14005";15219;188;19;TRUE
"14006";15220;188;20;TRUE
"14007";15221;135;22;TRUE
"14008";15222;66;NA;FALSE
"14009";15223;52;NA;FALSE
"14010";15224;66;NA;FALSE
"14011";15225;434;NA;FALSE
"14012";15226;28;NA;FALSE
"14013";15227;6;NA;FALSE
"14014";15228;23;NA;FALSE
"14015";15229;320;NA;FALSE
"14016";15230;325;NA;FALSE
"14017";15231;4;NA;FALSE
"14018";15232;4;NA;FALSE
"14019";15233;36;NA;FALSE
"14020";15234;23;NA;FALSE
"14021";15235;468;NA;FALSE
"14022";15236;454;42;TRUE
"14023";15237;4;NA;FALSE
"14024";15238;4;NA;FALSE
"14025";15239;325;NA;FALSE
"14026";15240;128;NA;FALSE
"14027";15241;4;NA;FALSE
"14028";15242;4;25;TRUE
"14029";15243;4;NA;FALSE
"14030";15244;454;NA;FALSE
"14031";15245;65;19;TRUE
"14032";15246;36;NA;FALSE
"14033";15247;76;NA;FALSE
"14034";15248;4;NA;FALSE
"14035";15249;468;NA;FALSE
"14036";15250;476;NA;FALSE
"14037";15251;4;NA;FALSE
"14038";15252;128;NA;FALSE
"14039";15253;133;NA;FALSE
"14040";15254;320;NA;FALSE
"14041";15255;53;20;TRUE
"14042";15256;128;NA;FALSE
"14043";15257;12;NA;FALSE
"14044";15258;133;NA;FALSE
"14045";15259;12;NA;FALSE
"14046";15260;36;NA;FALSE
"14047";15261;323;NA;FALSE
"14048";15262;6;41;TRUE
"14049";15263;476;NA;FALSE
"14050";15264;467;NA;FALSE
"14051";15265;325;NA;FALSE
"14052";15266;36;NA;FALSE
"14053";15267;4;NA;FALSE
"14054";15268;467;41;TRUE
"14055";15269;467;NA;FALSE
"14056";15270;4;NA;FALSE
"14057";15271;28;NA;FALSE
"14058";15272;28;NA;FALSE
"14059";15273;28;42;TRUE
"14060";15274;4;NA;FALSE
"14061";15275;4;NA;FALSE
"14062";15276;467;NA;FALSE
"14063";15277;133;24;TRUE
"14064";15278;12;NA;FALSE
"14065";15279;12;NA;FALSE
"14066";15280;467;41;TRUE
"14067";15281;12;NA;FALSE
"14068";15282;71;NA;FALSE
"14069";15283;130;NA;FALSE
"14070";15284;321;NA;FALSE
"14071";15285;321;NA;FALSE
"14072";15286;4;NA;FALSE
"14073";15287;66;NA;FALSE
"14074";15288;4;NA;FALSE
"14075";15289;130;NA;FALSE
"14076";15290;65;NA;FALSE
"14077";15291;130;NA;FALSE
"14078";15292;4;NA;FALSE
"14079";15293;130;NA;FALSE
"14080";15294;130;NA;FALSE
"14081";15295;36;NA;FALSE
"14082";15296;65;NA;FALSE
"14083";15297;4;NA;FALSE
"14084";15298;39;1;TRUE
"14085";15299;130;NA;FALSE
"14086";15300;4;NA;FALSE
"14087";15301;128;21;TRUE
"14088";15302;454;42;TRUE
"14089";15303;39;19;TRUE
"14090";15304;130;NA;FALSE
"14091";15305;454;42;TRUE
"14092";15306;4;NA;FALSE
"14093";15307;130;NA;FALSE
"14094";15308;468;NA;FALSE
