"";"id";"clust";"surrounded";"updated"
"7600";8693;902;TRUE;FALSE
"7601";8694;900;TRUE;FALSE
"7602";8695;338;TRUE;FALSE
"7603";8696;902;TRUE;TRUE
"7604";8697;338;TRUE;TRUE
"7605";8698;349;TRUE;FALSE
"7606";8699;334;TRUE;FALSE
"7607";8700;343;TRUE;FALSE
"7608";8701;419;TRUE;FALSE
"7609";8702;338;TRUE;FALSE
"7610";8703;900;TRUE;FALSE
"7611";8704;900;TRUE;TRUE
"7612";8705;922;TRUE;FALSE
"7613";8706;338;TRUE;TRUE
"7614";8707;906;TRUE;FALSE
"7615";8708;906;TRUE;FALSE
"7616";8709;334;TRUE;FALSE
"7617";8710;349;TRUE;FALSE
"7618";8711;906;TRUE;FALSE
"7619";8712;334;TRUE;FALSE
"7620";8713;900;TRUE;TRUE
"7621";8714;343;TRUE;FALSE
"7622";8715;900;TRUE;FALSE
"7623";8716;343;TRUE;FALSE
"7624";8717;334;TRUE;FALSE
"7625";8718;334;TRUE;FALSE
"7626";8719;334;TRUE;FALSE
"7627";8720;903;TRUE;TRUE
"7628";8721;424;TRUE;TRUE
"7629";8722;395;TRUE;FALSE
"7630";8723;338;TRUE;TRUE
"7631";8724;338;TRUE;TRUE
"7632";8725;334;TRUE;FALSE
"7633";8726;338;TRUE;TRUE
"7634";8727;334;TRUE;FALSE
"7635";8728;343;TRUE;TRUE
"7636";8729;338;TRUE;TRUE
"7637";8730;900;TRUE;FALSE
"7638";8731;334;TRUE;TRUE
"7639";8732;902;TRUE;TRUE
"7640";8733;902;TRUE;TRUE
"7641";8734;349;TRUE;TRUE
"7642";8735;900;TRUE;FALSE
"7643";8736;900;TRUE;TRUE
"7644";8737;902;TRUE;FALSE
"7645";8738;902;TRUE;FALSE
"7646";8739;334;TRUE;TRUE
"7647";8740;900;TRUE;FALSE
"7648";8741;900;TRUE;FALSE
"7649";8742;419;TRUE;TRUE
"7650";8743;338;TRUE;FALSE
"7651";8744;334;TRUE;TRUE
"7652";8745;334;TRUE;FALSE
"7653";8746;900;TRUE;TRUE
"7654";8747;900;TRUE;TRUE
"7655";8748;900;TRUE;TRUE
"7656";8749;902;TRUE;TRUE
"7657";8750;906;TRUE;FALSE
"7658";8751;906;TRUE;TRUE
"7659";8752;419;TRUE;TRUE
"7660";8753;419;TRUE;TRUE
"7661";8754;900;TRUE;FALSE
"7662";8755;334;TRUE;FALSE
"7663";8756;334;TRUE;FALSE
"7664";8757;902;TRUE;FALSE
"7665";8758;900;TRUE;TRUE
"7666";8759;900;TRUE;TRUE
"7667";8760;424;TRUE;TRUE
"7668";8761;900;TRUE;FALSE
"7669";8762;419;TRUE;TRUE
"7670";8763;347;TRUE;FALSE
"7671";8764;902;TRUE;FALSE
"7672";8765;334;TRUE;TRUE
"7673";8766;918;TRUE;FALSE
"7674";8767;900;TRUE;TRUE
"7675";8768;345;TRUE;FALSE
"7676";8769;900;TRUE;TRUE
"7677";8770;900;TRUE;TRUE
"7678";8771;900;TRUE;FALSE
"7679";8772;900;TRUE;FALSE
"7680";8773;902;TRUE;TRUE
"7681";8774;907;TRUE;TRUE
"7682";8775;900;TRUE;FALSE
"7683";8776;419;TRUE;TRUE
"7684";8777;900;TRUE;FALSE
"7685";8778;906;TRUE;TRUE
"7686";8779;343;TRUE;FALSE
"7687";8780;345;TRUE;TRUE
"7688";8781;419;TRUE;TRUE
"7689";8782;419;TRUE;FALSE
"7690";8783;338;TRUE;TRUE
"7691";8784;346;TRUE;FALSE
"7692";8785;343;TRUE;FALSE
"7693";8786;345;TRUE;FALSE
"7694";8787;918;TRUE;FALSE
"7695";8788;906;TRUE;FALSE
"7696";8789;918;TRUE;FALSE
"7697";8790;345;TRUE;TRUE
"7698";8791;918;TRUE;FALSE
"7699";8792;906;TRUE;TRUE
"7700";8793;419;TRUE;FALSE
"7701";8794;906;TRUE;TRUE
"7702";8795;345;TRUE;FALSE
"7703";8796;347;TRUE;TRUE
"7704";8797;349;TRUE;FALSE
"7705";8798;918;TRUE;FALSE
"7706";8799;347;TRUE;FALSE
"7707";8800;915;TRUE;TRUE
"7708";8801;907;TRUE;FALSE
"7709";8802;918;TRUE;FALSE
"7710";8803;419;TRUE;FALSE
"7711";8804;395;TRUE;TRUE
"7712";8805;918;TRUE;FALSE
"7713";8806;918;TRUE;TRUE
"7714";8807;419;TRUE;FALSE
"7715";8808;345;TRUE;TRUE
"7716";8809;918;TRUE;FALSE
"7717";8810;900;TRUE;FALSE
"7718";8811;900;TRUE;FALSE
"7719";8812;343;TRUE;FALSE
"7720";8813;922;TRUE;FALSE
"7721";8814;918;TRUE;TRUE
"7722";8815;922;TRUE;TRUE
"7723";8816;419;TRUE;FALSE
"7724";8817;338;TRUE;FALSE
"7725";8818;338;TRUE;TRUE
"7726";8819;338;TRUE;FALSE
"7727";8820;346;TRUE;TRUE
"7728";8821;903;TRUE;TRUE
"7729";8822;906;TRUE;TRUE
"7730";8823;900;TRUE;FALSE
"7731";8824;347;TRUE;FALSE
"7732";8825;902;TRUE;TRUE
"7733";8826;345;TRUE;TRUE
"7734";8827;900;TRUE;FALSE
"7735";8828;440;TRUE;TRUE
"7736";8829;922;TRUE;FALSE
"7737";8830;900;TRUE;FALSE
"7738";8831;901;TRUE;FALSE
"7739";8832;901;TRUE;FALSE
"7740";8833;902;TRUE;TRUE
"7741";8834;419;TRUE;TRUE
"7742";8835;903;TRUE;FALSE
"7743";8836;419;TRUE;FALSE
"7744";8837;419;TRUE;FALSE
"7745";8838;902;TRUE;FALSE
"7746";8839;918;TRUE;TRUE
"7747";8840;419;TRUE;FALSE
"7748";8841;901;TRUE;FALSE
"7749";8842;345;TRUE;TRUE
"7750";8843;902;TRUE;FALSE
"7751";8844;906;TRUE;FALSE
"7752";8845;906;TRUE;FALSE
"7753";8846;900;TRUE;FALSE
"7754";8847;419;TRUE;FALSE
"7755";8848;902;TRUE;FALSE
"7756";8849;347;TRUE;FALSE
"7757";8850;901;TRUE;TRUE
"7758";8851;901;TRUE;FALSE
"7759";8852;419;TRUE;FALSE
"7760";8853;419;TRUE;FALSE
"7761";8854;419;TRUE;TRUE
"7762";8855;347;TRUE;TRUE
"7763";8856;900;TRUE;FALSE
"7764";8857;903;TRUE;TRUE
"7765";8858;334;TRUE;FALSE
"7766";8859;900;TRUE;TRUE
"7767";8860;900;TRUE;FALSE
"7768";8861;346;TRUE;FALSE
"7769";8862;419;TRUE;TRUE
"7770";8863;343;TRUE;FALSE
"7771";8864;343;TRUE;FALSE
"7772";8865;345;TRUE;TRUE
"7773";8866;347;TRUE;FALSE
"7774";8867;345;TRUE;TRUE
"7775";8868;419;TRUE;FALSE
"7776";8869;338;TRUE;FALSE
"7777";8870;345;TRUE;TRUE
"7778";8871;334;TRUE;FALSE
"7779";8872;419;TRUE;FALSE
"7780";8873;338;TRUE;FALSE
"7781";8874;334;TRUE;FALSE
"7782";8875;338;TRUE;TRUE
"7783";8876;902;TRUE;FALSE
"7784";8877;345;TRUE;TRUE
"7785";8878;903;TRUE;FALSE
"7786";8879;902;TRUE;FALSE
"7787";8880;346;TRUE;FALSE
"7788";8881;345;TRUE;TRUE
"7789";8882;346;TRUE;TRUE
"7790";8883;419;TRUE;TRUE
